"SynonymID","SpeciesID","SynSCAMITID","SynonymGenus","SynonymSpecies","SynonymDescriber","DateSynonymAdded","Comments","SpeciesListSortID","chkSynGenRed","chkSynSpRed","chkSynAuth"
203477.00,976.00,4597.00,"Prionospio","sp A","SCAMIT 1991 §",,,205400,0,0,0
203480.00,978.00,4600.00,"Polydora (Carazzia)","kempi","Southern 1921",,,205600,1,1,1
203482.00,979.00,4602.00,"Polydora","paucibranchiata","Okuda 1937",,,205650,0,0,0
203484.00,980.00,4604.00,"Rhynchospio","glutaea","of authors NEP not (Ehlers 1901)",,,205750,1,1,1
203486.00,981.00,4606.00,"Nerinides","tridentata","Southern 1914",,,205850,0,0,0
203488.00,982.00,4609.00,"Scolelepis","sp 1","Pt Loma 1995 §",,,205900,0,0,0
203490.00,983.00,4612.00,"Nerine","foliosa occidentalis","Hartman 1961",,,205950,0,0,0
203492.00,984.00,4614.00,"Lumbricus","squamatus","O. F. Müller 1806",,,206000,0,0,0
203493.00,984.00,4615.00,"Lumbricus","cirratulus","delle Chiaje 1828",,,206000,0,0,0
203494.00,984.00,4616.00,"Nerinides","acuta","of Hartman 1969",,,206000,0,0,0
203495.00,984.00,4617.00,"Spio","acuta","Treadwell 1914",,,206000,0,0,0
203497.00,985.00,4619.00,"Nereis","filicornis","O. F. Müller 1766",,,206100,0,0,0
203499.00,986.00,4621.00,"Spio","sp A","Lovell 1986 §",,,206150,0,0,0
203501.00,987.00,4623.00,"Nerinides","maculata","Hartman 1961",,,206200,0,0,0
203503.00,988.00,4625.00,"Spiophanes","cirrata","of E. Berkeley 1927 not M. Sars 1872",,,206300,0,0,0
203504.00,988.00,4626.00,"Spiophanes","japonicum","Imajima 1991",,,206300,0,0,0
203506.00,989.00,4628.00,"Spio","bombyx","Claparède 1870",,,206350,0,0,0
203508.00,990.00,4630.00,"Morants","duplex","Chamberlin 1919",,,206400,1,1,1
203509.00,990.00,4631.00,"Spiophanes","missionensis","Hartman 1941",,,206400,0,0,0
203511.00,991.00,4633.00,"Spiophanes","kroeyeri","of authors NEP not Grube 1860",,,206450,1,1,1
203513.00,992.00,4635.00,"Spiophanes","berkeleyorum","of authors NEP (in part) not Pettibone 1962",,,206500,1,1,1
203514.00,992.00,4636.00,"Spiophanes","fimbriata","of authors NEP (in part) not Moore 1923",,,206500,1,1,1
203515.00,992.00,4637.00,"Spiophnes","kroeyeri","of authors NEP (in part) not Grube 1860",,,206500,1,1,1
203517.00,993.00,4639.00,"Spiophanes","cf wigleyi","SCAMIT 1984",,,206550,0,0,0
203532.00,1005.00,4643.00,"Disoma","franciscanum","Hartman 1947",,,206800,0,0,0
203533.00,1005.00,4644.00,"Trochochaeta","multisetosa","of authors NEP not (Ørsted 1844)",,,206800,1,1,1
203537.00,1007.00,4503.00,"Poecilochaetus","sp A","Martin 1977 §",,,202900,0,0,0
203538.00,1007.00,4504.00,"Poecilochaetus","sp A","of Lissner et al.1986 not Blake 1996",,,202900,0,0,0
203539.00,1007.00,4505.00,"Poecilochaetus","johnsoni","of Blake 1996 (in part) not Hartman 1939",,,202900,1,1,1
203542.00,1008.00,4488.00,"Longosoma","catalinensis","Hartman 1944",,,202100,0,0,0
203550.00,1013.00,4483.00,"Spiochaetopterus","costarum","of authors NEP not (Claparède 1870)",,,201950,1,1,1
203551.00,1013.00,4484.00,"Leptochaetopterus","pottsi","E. Berkeley 1927",,,201950,0,0,0
203552.00,1013.00,4485.00,"Spiochaetopterus","costarum pottsi","of Gitay 1969",,,201950,0,0,0
203556.00,1014.00,4218.00,"Aphelochaeta","glandaria","Blake 1996",,,190700,1,1,1
203557.00,1014.00,4219.00,"Aphelochaeta","marioni","of authors SCB not Saint Joseph 1894",,,190700,1,1,1
203558.00,1014.00,4220.00,"Aphelochaeta","sp A","SCAMIT 1998 §",,,190700,1,1,1
203559.00,1014.00,4221.00,"Aphelochaeta","sp C","of authors SCB",,,190700,0,0,0
203560.00,1014.00,4222.00,"Tharyx","nr sp C","Dorsey 1984 § ",,,190700,0,0,0
203561.00,1014.00,4223.00,"Tharyx","sp C","Dorsey 1984 §",,,190700,0,0,0
203563.00,1015.00,4225.00,"Tharyx","monilaris","Hartman 1960",,,190750,0,0,0
203564.00,1015.00,4226.00,"Tharyx","sp G","Dorsey 1984 §",,,190750,0,0,0
203566.00,1016.00,4228.00,"Aphelochaeta","multifilis Type II","Blake 1993 §",,,190800,0,0,0
203569.00,1018.00,4231.00,"Aphelochaeta","sp 1","SCAMIT 1995 §",,,190900,0,0,0
203572.00,1020.00,4234.00,"Aphelochaeta","sp SD2","Rowe 1997 §",,,191050,1,1,1
203575.00,1022.00,4237.00,"Aphelochaeta","petersenae","of Rowe 1996  § not Blake 1996",,,191100,1,1,1
203578.00,1024.00,4240.00,"Chaetozone","alata","Southern 1914",,,191250,0,0,0
203580.00,1025.00,4242.00,"Caulleriella","hamata","of Hartman 1969 in part not (Hartman 1948)",,,191300,0,0,0
203582.00,1026.00,4244.00,"Tharyx","hamatus","Hartman 1948",,,191350,0,0,0
203583.00,1026.00,4245.00,"Caulleriella","hamata","of Hartman 1969 in part",,,191350,0,0,0
