SynonymID,SpeciesID,SynSCAMITID,SynonymGenus,SynonymSpecies,SynonymDescriber,DateSynonymAdded,Comments,SpeciesListSortID,chkSynGenRed,chkSynSpRed,chkSynAuth
200351,113,351,Anthozoa,#21,Ljubenkov 1984,,,23250,0,0,0
200352,113,352,Anthozoa,#85,Ljubenkov 1984,,,23250,0,0,0
200353,113,353,Anthozoa,#88,Ljubenkov 1984,,,23250,0,0,0
200356,114,356,Epiactis,fertilis,Carlgren 1945,,,23450,0,0,0
200359,116,359,Tealia,columbiana,of Gotshall & Laurent 1979,,,23650,1,1,1
200362,117,362,Anthozoa,#96,Ljubenkov 1984,,,23850,0,0,0
200366,119,366,Bolocera,brevicornis,McMurrich 1893,,,24150,1,1,1
200370,121,370,Paractis,vinosa,McMurrich 1893,,,24450,1,1,1
200381,127,381,Actinia,farcimen,Brandt 1835,,,25450,0,0,0
200382,127,382,Actinia,priapus,Tilesius 1809 not Forskal 1775,,,25450,0,0,0
200383,127,383,Isometridium,ricketsii,Carlgren 1949,,,25450,0,0,0
200384,127,384,Metridium,giganteum,"Fautin, Buckland & Hand 1990",,,25450,0,0,0
200385,127,385,Medridium,senile Cmplx,of SCAMIT Ed. 3,,,25450,0,0,0
200397,132,397,Epizoanthus,induratus,of SCAMIT Ed 4,,,26550,1,1,1
200406,134,406,Plehnia,caeca var oculifera,Hyman 1953,,,27350,0,0,0
200407,134,407,Diplehnia,caeca,of Faubel 1983,,,27350,0,0,0
200408,134,408,Polycladida,sp D,Phillips 1987,,,27350,0,0,0
200411,135,411,Polycladida,sp S,Phillips 2004,,,27550,1,1,1
200415,137,415,Imogine,exiguus,of SCAMIT Ed 4,,,27900,1,1,1
200416,137,416,Platyhelminthes,sp E,MBC 1978,,,27900,0,0,0
200417,137,417,Platyhelminthes,sp I,MBC 1980,,,27900,0,0,0
200418,137,418,Polycladida,sp C,Phillips 1987,,,27900,0,0,0
200419,137,419,Polycladida,sp F,Phillips 1987,,,27900,0,0,0
200420,137,420,Polycladida,sp P,Paquette 1980,,,27900,0,0,0
200422,138,422,Cryptophallus,magnus,Freeman 1933,,,27775,0,0,0
200428,142,428,Polycladida,sp G,Phillips 1987,,,28450,0,0,0
200429,142,429,Polycladida,sp H,Phillips 1987,,,28450,1,1,1
200432,143,433,Polycladida,sp L,Phillips 1988,,,28650,0,0,0
200434,144,435,Polycladida,sp SD1,Pasko 1996,,,28750,1,1,1
200435,144,436,Polycladida,sp 41,Ljubenkov 1989,,,28750,0,0,0
200439,147,440,Notoplana,acticola,Boone 1929,,,29050,1,1,1
200441,148,442,Notoplana,rupicola,Heath & McGregor 1912,,,29100,1,1,1
200443,149,444,Stylochoplana,californica,Woodworth 1894,,,29250,0,0,0
200444,149,445,Polycladida,sp I,Phillips 1987,,,29250,0,0,0
200446,150,447,Stylochoplana,longipenis,Hyman 1953,,,29350,1,1,1
200448,151,449,Leptoplana,inquieta,Heath & McGregor 1912,,,29450,0,0,0
200449,151,450,Polycladida,sp N,Phillips 1987,,,29450,0,0,0
200450,151,451,Stylochoplana,heathi,Boone 1929,,,29450,0,0,0
200453,153,453,Polycladida,sp E,Phillips 1988,,,29650,1,1,1
200456,155,456,Polycladida,sp A,Phillips 1987,,,29750,1,1,1
200464,159,464,Stylochus,oligoglenus,Schmarda 1859,,,30550,0,0,0
200465,159,465,Polycladida,sp K,Phillips 1987,,,30550,0,0,0
200467,160,467,Planocera,californica,Heath & McGregor 1912,,,30650,1,1,1
200469,161,469,Planocera,sandiegensis,Boone 1923,,,30700,1,1,1
200472,162,472,Planocera,burchami,Heath & McGregor 1912,,,30950,0,0,0
200473,162,473,Discosolenia (Planocera),burchami,of Prudhoe 1985,,,30950,0,0,0
200474,162,474,Discosolenia,washingtoniensis,Freeman 1933,,,30950,0,0,0
200475,162,475,Koinostylochus,burchami,of Faubel 1983,,,30950,0,0,0
200476,162,476,Polycladida,sp B,Phillips 1987,,,30950,0,0,0
200477,162,477,Pseudostylochus,burchami,of Hyman 1952,,,30950,0,0,0
200481,163,481,Stylochoplana,gracilis,Heath & McGregor 1912,,,31250,0,0,0
200490,166,490,Platyhelminthes,sp G,Paquette 1979,,,32050,0,0,0
