"SortID","SpeciesID","SCAMIT_ID","Phylum","Subphylum","Class","Subclass","Infraclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Subgenus","species","Describer","red","bold","non_standard_italic","AuthorRed","SubgenusRed"
109400.00,5710.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Heterobranchia","Opisthobranchia","Nudipleura","Nudibranchia","Aeolidioidea","Facelinidae","Facelininae","Phidiana",,,,1,0,0,0,0
378200.00,5711.00,,"ECTOPROCTA","","Gymnolaemata","","","","Cheilostomata","Ascophora","","","Phidoloporidae","","Phidolopora",,,,0,0,0,0,0
91700.00,5712.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Heterobranchia","Opisthobranchia","Cephalaspidea","","Philinoidea","Philinidae","","Philine",,,,0,0,0,0,0
93900.00,5718.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Heterobranchia","Opisthobranchia","Cephalaspidea","","Philinoidea","Philinoglossidae","","Philinoglossa",,,,0,0,0,0,0
115100.00,5719.00,,"MOLLUSCA","Conchifera","Bivalvia","Pteriomorphia","",,"Arcoida",,"",,"Philobryidae",,"Philobrya",,,,1,0,0,0,0
244400.00,5720.00,,"ARTHROPODA","Crustacea","Ostracoda","Myodocopa","","","Myodocopida","Myodocopina","","Sarsielloidea","Philomedidae","","Philomedes",,,,0,0,0,0,0
333200.00,5723.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Anomura","Paguroidea","Paguridae","","Phimochirus",,,,0,0,0,0,0
198650.00,5724.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Terebellida","Terebelliformia","","Terebellidae","Amphitritinae","Phisidia","","","",1,0,0,0,0
165450.00,5725.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Aphroditiformia","Aphroditoidea","Pholoidae","","Pholoe","","","",0,0,0,0,0
165650.00,5728.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Aphroditiformia","Aphroditoidea","Pholoidae","","Pholoides","","","",0,0,0,0,0
366500.00,5729.00,,"PHORONA","","","","","","Phoronida","","","","Phoronidae","","Phoronis",,,,0,0,0,0,0
366600.00,5730.00,,"PHORONA","","","","","","Phoronida","","","","Phoronidae","","Phoronopsis",,,,0,0,0,0,0
265900.00,5731.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Caprellida","Photoidea","Photidae","","Photis",,,,0,0,0,0,0
236100.00,5747.00,,"ARTHROPODA","Cheliceriformia","Pycnogonida","","","","Pegmata",,"","Phoxichilidioidea","Phoxichilidiidae","","Phoxichelidium",,,,1,0,0,0,0
186150.00,5748.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Sabellida","","","Sabellariidae","Sabellariinae","Phragmatopoma","","","",1,0,0,0,0
262100.00,5749.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Caprellida","Caprelloidea","Caprellidae","Phtisicinae","Phtisica",,,,1,0,0,0,0
201750.00,5750.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Spionida","","","Chaetopteridae","","Phyllochaetopterus","","","",0,0,0,0,0
177850.00,5752.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","","","Phyllodocidae","Phyllodocinae","Phyllodoce","","","",0,0,0,0,0
303600.00,5758.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Isopoda","Epicaridea","","Bopyroidea","Bopyridae","","Phyllodurus",,,,0,0,0,0,0
362900.00,5759.00,,"ECHINODERMATA","Echinozoa","Holothuroidea","","","","Dendrochirotida","","","","Phyllophoridae","","Phyllophoridae",,,,1,0,1,0,0
159200.00,5761.00,,"ANNELIDA","","Polychaeta","Scolecida","","",,"","","","Orbiniidae","","Phylo","","","",0,0,0,0,0
169800.00,5763.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Nereidiformia","","Pilargidae","","Pilargidae genus A","","","",0,0,1,0,0
169150.00,5764.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Nereidiformia","","Pilargidae","","Pilargis","","","",0,0,0,0,0
343300.00,5770.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Pseudozioidea","Pilumnoididae","","Pilumnoides",,,,0,0,0,0,0
342950.00,5771.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Pilumnoidea","Pilumnidae","","Pilumnus",,,,0,0,0,0,0
8900.00,5772.00,,"CNIDARIA","","Hydrozoa","Anthoathecatae","","","Capitata","","","Tubularoidea","Tubulariidae","","Pinanay",,,,1,0,0,0,0
343900.00,5773.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Pinnotheroidea","Pinnotheridae","","Pinnixa",,,,0,0,0,0,0
345000.00,5784.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Pinnotheroidea","Pinnotheridae","","Pinnotheres",,,,0,0,0,0,0
171250.00,5785.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Nereidiformia","","Syllidae","Eusyllinae","Pionosyllis","","","",0,0,0,0,0
194650.00,5787.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Terebellida","Cirratuliformia","","Flabelligeridae","","Piromis","","","",0,0,0,0,0
351700.00,5789.00,,"ECHINODERMATA","Asterozoa","Asteroidea","","","Valvatacea","Forcipulatida","Asteriadina","","","Asteriidae","","Pisaster",,,,0,0,0,0,0
166350.00,5792.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Aphroditiformia","","Pisionidae","","Pisione","","","",0,0,0,0,0
198750.00,5793.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Terebellida","Terebelliformia","","Terebellidae","Amphitritinae","Pista","","","",0,0,0,0,0
133200.00,5800.00,,"MOLLUSCA","Conchifera","Bivalvia","Heterodonta","","Euheterodonta",,"Neoheterodontei","","Veneroidea","Veneridae","Pitarinae","Pitar",,,,0,0,0,0,0
52200.00,5801.00,,"MOLLUSCA","","Polyplacophora","","","","Chitonida","Acanthochitonina","","","Mopaliidae","","Placiphorella",,,,0,0,0,0,0
189500.00,5803.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Sabellida","","","Serpulidae","Serpulinae","Placostegus","","","",1,0,0,0,0
172650.00,5804.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Nereidiformia","","Syllidae","Exogoninae","Plakosyllis","","","",0,0,0,0,0
346100.00,5805.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Grapsoidea","Grapsidae","","Planes",,,,0,0,0,0,0
368800.00,5806.00,,"BRACHIOPODA","","Articulata","","","","Terebratulida","Terebratellidina","","Terebratelloidea","Platidiidae","","Platidia",,,,1,0,0,0,0
369600.00,5807.00,,"ECTOPROCTA","","Stenolaemata","","","","Cyclostomata","Tubuliporina","","","Tubuliporidae","","Platonea",,,,0,0,0,0,0
99800.00,5808.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Heterobranchia","Opisthobranchia","Nudipleura","Nudibranchia","Doridoidea","Discodorididae","","Platydoris",,,,0,0,0,0,0
337700.00,5809.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Calappoidea","Calappidae","","Platymera",,,,0,0,0,0,0
168650.00,5810.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Nereidiformia","","Nereididae","Nereidinae","Platynereis","","","",0,0,0,0,0
135050.00,5812.00,,"MOLLUSCA","Conchifera","Bivalvia","Heterodonta","","Euheterodonta",,"Neoheterodontei","","Myoidea","Myidae","Myinae","Platyodon",,,,0,0,0,0,0
143500.00,5813.00,,"MOLLUSCA","Conchifera","Bivalvia","Anomalodesmata","",,"Septibranchia","","",,"Cuspidariidae",,"Plectodon",,,,0,0,0,0,0
27300.00,5814.00,,"PLATYHELMINTHES","","Turbellaria","","","","Polycladida","Acotylea","","Stylochoidea","Plehniidae","","Plehnia",,,,0,0,0,0,0
29400.00,5815.00,,"PLATYHELMINTHES","","Turbellaria","","","","Polycladida","Acotylea","","Planoceroidea","Leptoplanidae","","Pleioplana",,,,0,0,0,0,0
79800.00,5816.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Caenogastropoda","Hypsogastropoda","Neogastropoda","","Muricoidea","Cysticidae","Plesiocysticinae","Plesiocystiscus",,,,1,0,0,0,0
326400.00,5818.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Caridea","Pandaloidea","Pandalidae","","Plesionika",,,,0,0,0,0,0
97400.00,5821.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Heterobranchia","Opisthobranchia","Nudipleura","Pleurobranchomorpha","Pleurobranchoidea","Pleurobranchidae","Pleurobranchaeinae","Pleurobranchaea",,,,0,0,0,0,0
307000.00,5822.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Isopoda","Asellota","","Janiroidea","Paramunnidae","","Pleurogonium",,,,0,0,0,0,0
334200.00,5824.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Anomura","Galatheoidea","Galatheidae","","Pleuroncodes",,,,0,0,0,0,0
268800.00,5825.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Leucothoida","Leucothoidea","Pleustidae","Pleusirinae","Pleusirus",,,,0,0,0,0,0
269000.00,5826.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Leucothoida","Leucothoidea","Pleustidae","Pleusymptinae","Pleusymtes",,,,0,0,0,0,0
13200.00,5827.00,,"CNIDARIA","","Hydrozoa","Leptothecatae","","","Conica","","","","Plumulariidae","","Plumularia",,,,0,0,0,0,0
167650.00,5829.00,,"ANNELIDA","","Polychaeta","Palpata","","","Aciculata","Phyllodocida","Nereidiformia","","Hesionidae","","Podarkeopsis","","","",0,0,0,0,0
262700.00,5832.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Peracarida","Amphipoda","Gammaridea","Caprellida","Caprelloidea","Podoceridae","","Podocerus",,,,0,0,0,0,0
339200.00,5835.00,,"ARTHROPODA","Crustacea","Malacostraca","Eumalacostraca","","Eucarida","Decapoda","Pleocyemata","Brachyura","Majoidea","Inachidae","","Podochela",,,,0,0,0,0,0
121500.00,5837.00,,"MOLLUSCA","Conchifera","Bivalvia","Pteriomorphia","",,"Ostreoida",,"",,"Anomiidae",,"Pododesmus",,,,0,0,0,0,0
2300.00,5838.00,,"SILICEA","","Demospongiae","Tetractinomorpha","","","Astrophorida","","","","Pachastrellidae","","Poecillastra",,,,0,0,0,0,0
202800.00,5839.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Spionida","","","Poecilochaetidae","","Poecilochaetus","","","",0,0,0,0,0
382200.00,5841.00,,"CHORDATA","Urochordata","Ascidiacea","","","","Stolidobranchiata","","","","Styelidae","","Polyandrocarpa",,,,0,0,0,0,0
102800.00,5842.00,,"MOLLUSCA","Conchifera","Gastropoda","Orthogastropoda","","Heterobranchia","Opisthobranchia","Nudipleura","Nudibranchia","Polyceroidea","Polyceridae","Polycerinae","Polycera",,,,0,0,0,0,0
199450.00,5845.00,,"ANNELIDA","","Polychaeta","Palpata","","","Canalipalpata","Terebellida","Terebelliformia","","Terebellidae","Polycirrinae","Polycirrus","","","",0,0,0,0,0
33300.00,5853.00,,"PLATYHELMINTHES","","Turbellaria","","","","Polycladida","Cotylea","","uncertain","uncertain","","Polycladida",,,,0,0,1,0,0
