"""SortID""",SpeciesID,SCAMIT_ID,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus,Subgenus,species,Describer,red,bold,non_standard_italic,AuthorRed,SubgenusRed
11850,49,166,CNIDARIA,,Hydrozoa,Leptothecatae,,,Proboscoida,,,,Campanulariidae,,Rhizocaulus,,verticillatus,(Linnaeus 1758),0,0,0,0,0
12150,50,172,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Lovenellidae,,Lovenella,,nodosa,Fraser 1938,0,0,0,0,0
12350,51,174,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Kirchenpaueriidae,,Kirchenpaueria,,plumularioides,(S. F. Clark 1876),1,0,0,0,0
12450,52,177,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Kirchenpaueriidae,,Pycnotheca,,allmani,(Torrey 1902),1,0,0,0,0
12650,53,180,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Campanulinidae,,Campanulina,,sp,,0,0,1,0,0
12850,54,182,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Calycellidae,,Calycella,,syringa,(Linnaeus 1767),0,0,0,0,0
13050,55,186,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Aglaopheniidae,,Aglaophenia,,sp A,(MEC 1990) §,1,0,1,1,0
13250,56,189,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Plumulariidae,,Plumularia,,integra,Fraser 1948,0,0,0,0,0
13300,57,190,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Plumulariidae,,Plumularia,,setacea,(Linnaeus 1758),1,0,0,1,0
13550,58,194,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Sertulariidae,,Abietenaria,,expansa, Fraser 1938,1,0,0,1,0
13650,59,196,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Sertulariidae,,Dynamena,,sp,,0,0,1,0,0
13750,60,197,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Sertulariidae,,Selaginopsis,,cylindrica,(S. F. Clark 1876),1,0,0,1,0
13850,61,199,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,Sertulariidae,,Symplectoscyphus,,pedrensis,(Torrey 1904),0,0,0,0,0
14050,62,203,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,uncertain,,Egmundella,,gracilis,Stechow 1921,1,0,0,1,0
14150,63,205,CNIDARIA,,Hydrozoa,Leptothecatae,,,Conica,,,,uncertain,,Oplorhiza,,polynema,(Fraser 1948),1,0,0,1,0
14550,64,210,CNIDARIA,,Hydrozoa,Leptothecatae,,,Siphonophora,Physonectae,,,Rhodaliidae,,Dromalia,,alexandri,Bigelow 1911,0,0,0,0,0
15050,65,215,CNIDARIA,,Anthozoa,Octocorallia,,,Stolonifera,,,,Clavulariidae,,Clavularia,,sp H,Hochberg 1978 §,0,0,1,0,0
15250,66,217,CNIDARIA,,Anthozoa,Octocorallia,,,Stolonifera,,,,Telestidae,,Telesto,,californica,Kükenthal 1913,1,0,0,1,0
15300,67,218,CNIDARIA,,Anthozoa,Octocorallia,,,Stolonifera,,,,Telestidae,,Telesto,,nuttingi,Kükenthal 1913,1,0,0,1,0
15550,68,220,CNIDARIA,,Anthozoa,Octocorallia,,,Stolonifera,,,,uncertain,,Stolonifera Genus 1,,sp B,Hochberg 1978 §,1,0,1,1,0
15950,69,224,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,Adelogorgia,,phyllosclera,Bayer 1958,0,0,0,0,0
16050,70,226,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,Eugorgia,,rubens,Verrill 1868,0,0,0,0,0
16150,71,227,CNIDARIA,,Anthozoa,Octocorallia,,,Alcyonacea,Holaxonia,,,Gorgoniidae,,Heterogorgia,,tortuosa,Verrill 1868,0,0,0,0,0
